initial_investment,royalty_rate,sigma,discount_rate,irr_mean,irr_p10,irr_p50,irr_p90,moic_mean,moic_p10,moic_p50,moic_p90,net_cf_mean,net_cf_p10,net_cf_p50,net_cf_p90,npv_mean,npv_p10,npv_p50,npv_p90,prob_irr_negative,prob_moic_below_1x,prob_net_cf_negative,prob_no_payback,irr_var_5,irr_cvar_5,net_cf_var_5,net_cf_cvar_5,prob_npv_negative,npv_var_5,npv_cvar_5
50000000,0.06,0.2,0.1,-0.02124474530637537,-0.03404228764124715,-0.021800857060499945,-0.007621477635447454,0.8689792513399118,0.7914652684416621,0.8657479894016862,0.9516898272961747,-6551037.433004413,-10426736.577916896,-6712600.52991569,-2415508.6351912622,-25589614.661246903,-27920363.37098027,-25692022.800557725,-23063122.721015703,0.958,0.958,0.958,0.958,-0.03851706976275767,-0.04150975347027562,-11712749.01370774,-12586224.074943464,1.0,-28682798.43863468,-29234092.96181692
50000000,0.07,0.1,0.1,-0.01622240255732012,-0.02232275734820425,-0.01655607798066061,-0.009731737331552892,0.8980088881196128,0.859937801035172,0.8959760779613356,0.9383091783774415,-5099555.594019365,-7003109.948241402,-5201196.10193322,-3084541.0811279155,-24852349.938405327,-26022056.501578134,-24898529.03979227,-23638853.7083943,0.998,0.998,0.998,0.998,-0.02417951510836684,-0.026685028697119896,-7530888.080499644,-8310352.4983839765,1.0,-26352557.298691824,-26778603.83427988
50000000,0.07,0.15,0.1,-0.01609970840238669,-0.024894208418447427,-0.016543698294878784,-0.006376165047941471,0.8989591558540356,0.8437920062853211,0.8957597262895141,0.9595927250660841,-5052042.20729822,-7810399.685733933,-5212013.685524302,-2020363.7466957993,-24822478.41476045,-26515737.496128343,-24912677.266695954,-23007480.109179437,0.966,0.966,0.966,0.966,-0.028131910480256005,-0.03157147343885042,-8716404.499802059,-9793798.261003966,1.0,-27138303.23262332,-27661483.24080755
50000000,0.07,0.2,0.1,-0.015801435741832116,-0.028475498034438693,-0.016139301074285857,-0.002716796186820935,0.9010677063988269,0.8249202528668075,0.8976734861498139,0.9824257484347411,-4946614.680058656,-8753987.356659612,-5116325.69250931,-878712.5782629502,-24758663.65161908,-27119856.83511781,-24901771.993028693,-22207815.144107513,0.928,0.928,0.928,0.928,-0.03181789054510713,-0.03498491713547077,-9887566.718742516,-10785040.084666414,1.0,-27640449.773797102,-28262313.790181767
60000000,0.04,0.1,0.1,-0.05740136278963885,-0.06384107806464732,-0.05783807155095583,-0.05016031727422996,0.6725283916903997,0.6386041141273109,0.6702129217916125,0.7109737824375516,-19648296.49857602,-21683753.152361345,-19787224.69250325,-17341573.0537469,-37243484.83648832,-38494808.6559097,-37302348.507865235,-35878975.28844742,1.0,1.0,1.0,1.0,-0.06621126651196459,-0.06848874814386705,-22495777.515192803,-23212011.575132493,1.0,-38932105.522394076,-39409371.5903793
60000000,0.04,0.15,0.1,-0.05707833859649003,-0.06648146433753288,-0.05753532243017215,-0.046833558379747425,0.6741942517328237,0.6205585964314347,0.6719259378836051,0.7296141230418084,-19548344.89603058,-22766484.214113917,-19684443.726983696,-16223152.617491495,-37191218.87258277,-39203611.070263766,-37299591.61165724,-35174258.63609153,1.0,1.0,1.0,1.0,-0.06974294571928051,-0.07281541272764232,-23682500.65437436,-24635518.829637647,1.0,-39718210.8194969,-40319603.20526006
60000000,0.04,0.2,0.1,-0.05676343426772529,-0.06930127967736757,-0.05740626562331419,-0.04294355136343388,0.6757809688139622,0.6052408257934974,0.6725496053270679,0.7506192779224276,-19453141.871162273,-23685550.452390157,-19647023.680375926,-14962843.324654344,-37146847.30523556,-39791149.69124783,-37261890.52112834,-34512459.69840931,1.0,1.0,1.0,1.0,-0.07367127699743947,-0.07736697074001811,-25043393.634255167,-26052746.24493512,1.0,-40560415.487539455,-41182161.298560195
60000000,0.05,0.1,0.1,-0.052660231917334654,-0.05837866640063296,-0.053044232184741136,-0.04582177826035998,0.695780558793914,0.6646585199139167,0.6937331846123614,0.7326095473530658,-18253166.47236516,-20120488.805164997,-18376008.923258312,-16043427.158816049,-36488175.38033306,-37679204.0508958,-36546618.339676276,-35199185.53216522,1.0,1.0,1.0,1.0,-0.06080003943251819,-0.06308817702413039,-20860411.88826399,-21641394.355996963,1.0,-38069928.80942061,-38535290.921103455
60000000,0.05,0.15,0.1,-0.05238538123904675,-0.06138570335803418,-0.052781818242910006,-0.042796974419527144,0.6972618692234327,0.6481455595064001,0.6948853520450733,0.7512310584634969,-18164287.84659404,-21111266.429615997,-18306878.877295602,-14926136.492190192,-36441116.021540895,-38298396.91725345,-36500182.151601925,-34472055.574013524,1.0,1.0,1.0,1.0,-0.06443699903417825,-0.06739503237027607,-22051058.69023389,-23077841.068720274,1.0,-38773611.62204404,-39428437.76918683
60000000,0.05,0.2,0.1,-0.05207156686279902,-0.0641630325357044,-0.05253996832545421,-0.03906264613303175,0.6989613250679808,0.6336662890728862,0.6961152344583958,0.7715625591284537,-18062320.495921154,-21980022.655626815,-18233085.932496257,-13706246.452292774,-36389417.0172325,-38900743.596811265,-36515164.39423162,-33783555.28831263,1.0,1.0,1.0,1.0,-0.0683010732045568,-0.07146287060818002,-23438818.667984065,-24370198.594600007,1.0,-39664209.53719342,-40220847.24111902
